timestamp,lat,lon
2008-10-23T02:53:04Z,39.984702,116.318417
2008-10-23T02:53:10Z,39.984683,116.31845
2008-10-23T02:53:15Z,39.984686,116.318417
2008-10-23T02:53:20Z,39.984688,116.318385
2008-10-23T02:53:25Z,39.984655,116.318263
2008-10-23T02:53:30Z,39.984611,116.318026
2008-10-23T02:53:35Z,39.984608,116.317761
2008-10-23T02:53:40Z,39.984563,116.317517
2008-10-23T02:53:45Z,39.984539,116.317294
2008-10-23T02:53:50Z,39.984606,116.317065
2008-10-23T02:53:55Z,39.984568,116.316911
2008-10-23T02:54:00Z,39.984586,116.316716
2008-10-23T02:54:05Z,39.984561,116.316527
2008-10-23T02:54:10Z,39.984536,116.316354
2008-10-23T02:54:15Z,39.984523,116.316188
2008-10-23T02:54:20Z,39.984516,116.315963
2008-10-23T02:54:25Z,39.984523,116.315823
2008-10-23T02:54:30Z,39.984574,116.315611
2008-10-23T02:54:35Z,39.984568,116.315407
2008-10-23T02:54:40Z,39.984538,116.315148
2008-10-23T02:54:45Z,39.984501,116.314907
2008-10-23T02:54:50Z,39.984532,116.314808
2008-10-23T02:54:55Z,39.984504,116.314625
2008-10-23T02:55:00Z,39.984485,116.314426
2008-10-23T02:55:05Z,39.984427,116.31424
2008-10-23T02:55:10Z,39.984485,116.314042
2008-10-23T02:55:15Z,39.98448,116.313818
2008-10-23T02:55:20Z,39.984501,116.313659
2008-10-23T02:55:25Z,39.984618,116.314323
2008-10-23T02:55:30Z,39.984649,116.314107
2008-10-23T02:55:35Z,39.984621,116.313941
2008-10-23T02:55:40Z,39.984655,116.313724
2008-10-23T02:55:45Z,39.984681,116.313521
2008-10-23T02:55:50Z,39.984708,116.313311
2008-10-23T02:55:55Z,39.984708,116.313099
2008-10-23T02:56:00Z,39.984696,116.312921
2008-10-23T02:56:05Z,39.984677,116.312746
2008-10-23T02:56:10Z,39.984682,116.312525
2008-10-23T02:56:15Z,39.984649,116.312332
2008-10-23T02:56:20Z,39.984641,116.312123
2008-10-23T02:56:25Z,39.984647,116.311917
2008-10-23T02:56:30Z,39.984654,116.31172
2008-10-23T02:56:35Z,39.984631,116.311569
2008-10-23T02:56:40Z,39.984647,116.31138
2008-10-23T02:56:45Z,39.984653,116.311189
2008-10-23T02:56:50Z,39.984628,116.311026
